start_date,deaths
2015-01-05,1697
2015-01-12,1699
2015-01-19,1707
2015-01-26,1711
2015-02-02,1722
2015-02-09,1727
2015-02-16,1738
2015-02-23,1739
2015-03-02,1751
2015-03-09,1759
2015-03-16,1765
2015-03-23,1766
2015-03-30,1769
2015-04-06,1771
2015-04-13,1781
2015-04-20,1783
2015-04-27,1784
2015-05-04,1787
2015-05-11,1790
2015-05-18,1790
2015-05-25,1791
2015-06-01,1792
2015-06-08,1792
2015-06-15,1793
2015-06-22,1796
2015-06-29,1796
2015-07-06,1799
2015-07-13,1799
2015-07-20,1799
2015-07-27,1801
2015-08-03,1803
2015-08-10,1805
2015-08-17,1806
2015-08-24,1808
2015-08-31,1809
2015-09-07,1811
2015-09-14,1815
2015-09-21,1816
2015-09-28,1816
2015-10-05,1816
2015-10-12,1819
2015-10-19,1821
2015-10-26,1821
2015-11-02,1822
2015-11-09,1824
2015-11-16,1825
2015-11-23,1826
2015-11-30,1828
2015-12-07,1833
2015-12-14,1835
2016-01-11,1837
2016-01-18,1838
2016-01-25,1841
2016-02-01,1841
2016-02-08,1843
2016-02-15,1845
2016-02-22,1846
2016-02-29,1847
2016-03-07,1849
2016-03-14,1852
2016-03-21,1854
2016-03-28,1856
2016-04-04,1856
2016-04-11,1860
2016-04-18,1864
2016-04-25,1864
2016-05-02,1867
2016-05-09,1873
2016-05-16,1873
2016-05-23,1877
2016-05-30,1879
2016-06-06,1879
2016-06-13,1879
2016-06-20,1880
2016-06-27,1882
2016-07-04,1882
2016-07-11,1883
2016-07-18,1883
2016-07-25,1890
2016-08-01,1893
2016-08-08,1898
2016-08-15,1899
2016-08-22,1901
2016-08-29,1902
2016-09-05,1906
2016-09-12,1909
2016-09-19,1910
2016-09-26,1911
2016-10-03,1912
2016-10-10,1913
2016-10-17,1914
2016-10-24,1914
2016-10-31,1916
2016-11-07,1916
2016-11-14,1918
2016-11-21,1919
2016-11-28,1919
2016-12-05,1919
2016-12-12,1922
2016-12-19,1928
2017-01-09,1931
2017-01-16,1932
2017-01-23,1933
2017-01-30,1933
2017-02-06,1934
2017-02-13,1935
2017-02-20,1936
2017-02-27,1937
2017-03-06,1938
2017-03-13,1939
2017-03-20,1939
2017-03-27,1941
2017-04-03,1943
2017-04-10,1945
2017-04-17,1948
2017-04-24,1950
2017-05-01,1954
2017-05-08,1958
2017-05-15,1960
2017-05-22,1960
2017-05-29,1966
2017-06-05,1969
2017-06-12,1970
2017-06-19,1970
2017-06-26,1971
2017-07-03,1971
